main_page_link,isAssured,car_name,model,brand,location,seller_type,selling_location,transmission_type,km_driven,variant,selling_price
https://www.cardekho.com/used-car-details/used-Maruti-Vitara-Brezza-Vdi-cars-Agra_06df9b55-cf9b-444f-b337-e9be13f78b6c.htm,False,Maruti Vitara Brezza VDi,Maruti,VDi,Agra,Dealer,"Khasra No. 192, Bainpur Road, Sikandra, Agra- 282007",Manual,"83,070",Diesel,765000.0
https://www.cardekho.com/used-car-details/used-Maruti-Baleno-1.2-Alpha-cars-Agra_c836f259-3f9a-4b66-9f1e-06424c3aaa06.htm,False,Maruti Baleno 1.2 Alpha,Maruti,1.2 Alpha,Agra,Dealer,"Khasra No. 192, Bainpur Road, Sikandra, Agra- 282007|",Manual,"63,294",Petrol,600000.0
https://www.cardekho.com/used-car-details/used-Maruti-Swift-Vxi-Optional-cars-Agra_0e21ce6f-51f6-4627-b848-401357357d11.htm,False,Maruti Swift VXI Optional,Maruti,VXI Optional,Agra,Dealer,"Khasra No. 192, Bainpur Road, Sikandra, Agra- 282007|",Manual,"49,923",Petrol,450000.0
https://www.cardekho.com/used-car-details/used-Hyundai-I10-Sportz-1.1l-cars-Agra_c11bbc7c-4f1d-4c45-b765-28de6b3f2cee.htm,False,Hyundai i10 Sportz 1.1L,Hyundai,Sportz 1.1L,Agra,Dealer,"Khasra No. 192, Bainpur Road, Sikandra, Agra- 282007|",Manual,"29,924",Petrol,330000.0
https://www.cardekho.com/used-car-details/used-Maruti-Swift-Dzire-Vxi-1.2-cars-Agra_0ce5548d-23fa-446f-ae05-ae6d73e3771c.htm,False,Maruti Swift Dzire VXI 1.2,Maruti,VXI 1.2,Agra,Dealer,"Khasra No. 192, Bainpur Road, Sikandra, Agra- 282007|",Manual,"48,415",Petrol,610000.0
https://www.cardekho.com/used-car-details/used-Maruti-Swift-Dzire-Vdi-cars-Agra_8c0ee2a6-e5e4-40df-866a-22fbfbaccb2b.htm,False,Maruti Swift Dzire VDI,Maruti,VDI,Agra,Dealer,"Khasra No. 192, Bainpur Road, Sikandra, Agra- 282007|",Manual,"50,149",Diesel,600000.0
https://www.cardekho.com/used-car-details/used-Maruti-Swift-Dzire-Vdi-cars-Agra_4693428a-194b-4fd8-9ef6-c5ee32e9f8cf.htm,False,Maruti Swift Dzire VDI,Maruti,VDI,Agra,Dealer,"Khasra No. 192, Bainpur Road, Sikandra, Agra- 282007|",Manual,"63,303",Diesel,550000.0
https://www.cardekho.com/used-car-details/used-Maruti-Vitara-Brezza-Vdi-cars-Agra_5947cad1-9174-410d-a777-530dd782138d.htm,False,Maruti Vitara Brezza VDi,Maruti,VDi,Agra,Dealer,"Khasra No. 192, Bainpur Road, Sikandra, Agra- 282007|",Manual,"83,064",Diesel,740000.0
https://www.cardekho.com/used-car-details/used-Nissan-Micra-Active-Xv-cars-Agra_9119e0a2-555b-4cc9-bfa4-80c0a791886f.htm,False,Nissan Micra Active XV,Nissan,XV,Agra,Dealer,"Khasra No. 192, Bainpur Road, Sikandra, Agra- 282007|",Manual,"36,403",Petrol,270000.0
https://www.cardekho.com/used-car-details/used-Hyundai-Santro-Magna-Bsiv-cars-Agra_090dd184-e007-475c-9136-6e34b7f8e033.htm,False,Hyundai Santro Magna BSIV,Hyundai,Magna BSIV,Agra,Dealer,"Khasra No. 192, Bainpur Road, Sikandra, Agra- 282007|",Manual,"31,458",Petrol,420000.0
